"order_no","ro_no","ro_date","invoice_date","invoice_no","outlet_code","outlet_name","emp_code","emp_name","sup_code","sup_name","pro_code","pro_name","largest_unit","middle_unit","small_unit","largest_system_price","middle_system_price","small_system_price","final_largest_selling_price","final_middle_selling_price","final_small_selling_price","largest_qty_order","middle_qty_order","smallest_qty_order","promotion_value","discount_value","vat_value","gross_price","net_sales"
PO260303SLS010003,SO2603030010,2026-03-03,2026-03-03,INV2603030013,"20251225",TOKO SSS,SLS01,Jeddy,MT001,Mainan Toys,AF-0012,Action Figure Black Widdow,CRT/10,CRT/1,PCS/1,4000000,4000000,400000,4000000.0000,4000000.0000,400000.0000,1.0,0.0,0.0,0.0000,0.0000,440000.0000,4000000.0,4000000.0
PO26030430122410001,SO2603040001,2026-03-04,2026-03-04,INV2603040003,N000001,New outlet,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0012,Action Figure Black Widdow,CRT/10,CRT/1,PCS/1,4000000,4000000,400000,2250000.0000,1250000.0000,400000.0000,1.0,0.0,0.0,0.0000,0.0000,247500.0000,2250000.0,2250000.0
PO26030430122410001,SO2603040001,2026-03-04,2026-03-04,INV2603040003,N000001,New outlet,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,83500.0000,83500.0000,4175.0000,1.0,0.0,0.0,0.0000,0.0000,9185.0000,83500.0,83500.0
,SO2603100012,2026-03-10,,,"070002",toko kemang 2,BDG001,Nyeck Nyobe,MT001,Mainan Toys,AF-0021,Action Figure Winter Soldier,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,0.0000,220000.0000,2000000.0,2000000.0
,SO2603100012,2026-03-10,,,"070002",toko kemang 2,BDG001,Nyeck Nyobe,MT001,Mainan Toys,AF-0028,Action Figure Jhon Cena,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,0.0000,220000.0000,2000000.0,2000000.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,"02001",PT URC,"020081",ROLLER COASTER BBQ 70GR/30,KRT/1,PCS/30,PCS/1,78811,2627,2627,0.0000,0.0000,0.0000,3.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0002,Action Figure Batman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603100013,2026-03-10,2026-03-11,INV2603110027,"0019",Babeh TK,"2025120204",Yogie Setya,MT001,Mainan Toys,AF-0039,Action Figure Koch Justin,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,3.0,0.0,0.0,0.0000,0.0000,0.0000,6000000.0,6000000.0
,SO2603040003,2026-03-04,,,"070005",Toko Kemang 5,"2025120201",Ilham Abdullah,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,23000.0000,2.0,0.0,0.0,0.0000,0.0000,16500.0000,150000.0,150000.0
,SO2603100014,2026-03-10,2026-03-11,INV2603110026,"09845",Toko Abadi Membumi,"2025120204",Yogie Setya,MT001,Mainan Toys,AF-0037,Action Figure Ruben Amorim,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,0.0000,220000.0000,2000000.0,2000000.0
